Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2030,Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.28,0.24,0,0.1,0.63
2031,Iron Man,PSP,2008,Action,Sega,0.46,0.09,0,0.09,0.63
2032,DJ Hero 2,Wii,2010,Misc,Activision,0.49,0.09,0,0.04,0.63
2033,Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0,0.06,0.63
2034,Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.58,0,0,0.05,0.63
2035,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Namco Bandai Games,0,0,0.63,0,0.63
2036,Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.21,0,0.09,0.63
2037,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
2038,Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63
2039,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.43,0.05,0,0.14,0.63
2040,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.34,0.23,0,0.06,0.63
2041,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.4,0.23,0,0,0.63
2042,The Crew,XOne,2014,Racing,Ubisoft,0.24,0.34,0,0.05,0.63
2043,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.2,0.37,0,0.06,0.63
2044,Shin Megami Tensei: Persona 3 FES,PS2,2007,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63
2045,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.31,0.24,0,0.08,0.63
2046,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.63
2047,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.4,0.17,0,0.05,0.63
2048,Okami,PS2,2006,Action,Capcom,0.11,0.03,0.15,0.34,0.63
2049,NHL 2001,PS,2000,Sports,Electronic Arts,0.35,0.24,0,0.04,0.63
2050,World of Zoo,Wii,2009,Simulation,THQ,0.41,0.16,0,0.05,0.63
2051,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
2052,Wet,PS3,2009,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63
2053,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.35,0.24,0,0.04,0.63
2054,Tony Hawk's American Wasteland,XB,2005,Sports,Activision,0.4,0.2,0,0.03,0.62
2055,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.3,0.26,0,0.06,0.62
2056,Vanquish,PS3,2010,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
2057,Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
2058,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
2059,Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0,0.05,0.62
2060,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.47,0.13,0,0.02,0.62
2061,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
2062,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.36,0.2,0,0.06,0.62
2063,Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.3,0.24,0,0.08,0.62
2064,Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62
2065,Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,0,0.04,0.57,0.01,0.62
2066,FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
2067,Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,0.34,0.23,0,0.04,0.62
2068,Strike Force Bowling,PS2,2004,Sports,Play It,0.3,0.24,0,0.08,0.62
2069,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.57,0.01,0,0.04,0.62
2070,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
2071,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
2072,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.25,0.23,0,0.14,0.62
2073,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.3,0.24,0,0.08,0.62
2074,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.34,0.17,0,0.11,0.62
2075,Wall-E,X360,2008,Platform,THQ,0.29,0.26,0,0.07,0.62
2076,Super Robot Taisen α Gaiden,PS,2001,Strategy,Banpresto,0,0,0.58,0.04,0.62
2077,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0,0.57,0.04,0,0.61
2078,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61
2079,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.56,0,0,0.05,0.61
2080,SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0,0.04,0,0.57,0.61
2081,NHL 16,PS4,2015,Sports,Electronic Arts,0.35,0.15,0,0.11,0.61
2082,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
2083,NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.46,0.13,0,0.02,0.61
2084,Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61
2085,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61
2086,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.39,0.18,0,0.05,0.61
2087,Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,0.3,0.23,0,0.08,0.61
2088,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.35,0.21,0,0.05,0.61
2089,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.46,0.1,0,0.05,0.61
2090,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.3,0.23,0,0.08,0.61
2091,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.58,0,0,0.03,0.61
2092,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0,0.07,0.61
2093,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
2094,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
2095,Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0,0.03,0.61
2096,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
2097,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.18,0.27,0,0.15,0.61
2098,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.56,0,0,0.05,0.61
2099,Major League Baseball 2K9,X360,2009,Sports,Spike,0.56,0,0,0.05,0.61
2100,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.32,0.23,0,0.06,0.61
2101,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.33,0.21,0,0.06,0.61
2102,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.61
2103,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.51,0.05,0,0.05,0.61
2104,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.5,0.02,0,0.08,0.61
2105,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0,0.06,0.61
2106,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.3,0.24,0,0.06,0.61
2107,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
2108,Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
2109,Shadow The Hedgehog,PS2,2005,Platform,Sega,0.5,0.02,0,0.08,0.6
2110,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08,0.6
2111,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0,0.02,0.6
2112,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0,0,0.6,0,0.6
2113,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.5,0.02,0,0.08,0.6
2114,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0,0.05,0.6
2115,Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.38,0.15,0,0.08,0.6
2116,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
2117,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
2118,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0,0.29,0.6
2119,Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0,0.08,0.6
2120,Avatar: The Game,PSP,2009,Action,Ubisoft,0.22,0.24,0,0.14,0.6
2121,Jaws Unleashed,PS2,2006,Action,THQ,0.5,0.02,0,0.08,0.6
2122,Half-Life,PS2,2001,Shooter,Vivendi Games,0.29,0.23,0,0.08,0.6
2123,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.34,0.21,0,0.05,0.6
2124,NASCAR Heat 2002,PS2,2001,Racing,Infogrames,0.29,0.23,0,0.08,0.6
2125,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0,0.04,0.6
2126,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0,0,0.56,0.04,0.6
2127,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6
2128,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.24,0.25,0,0.11,0.6
2129,Blur,X360,2010,Racing,Activision,0.25,0.28,0,0.06,0.6
2130,NHL 11,PS3,2010,Sports,Electronic Arts,0.4,0.13,0,0.07,0.6
2131,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.38,0.16,0,0.05,0.6
2132,Monopoly,X360,2008,Misc,Electronic Arts,0.34,0.2,0,0.06,0.6
2133,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.26,0.24,0,0.1,0.6
2134,Major League Baseball 2K7,PS2,2007,Sports,Spike,0.29,0.23,0,0.08,0.6
2135,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.29,0.22,0,0.09,0.6
2136,Dai-2-Ji Super Robot Taisen α,PS2,2003,Strategy,Banpresto,0,0,0.6,0,0.6
2137,Dead Space,PC,2008,Action,Electronic Arts,0,0.53,0,0.06,0.59
2138,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.29,0.23,0,0.08,0.59
2139,Rayman Origins,PSV,2012,Platform,Ubisoft,0.13,0.35,0,0.11,0.59
2140,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.07,0.46,0,0.07,0.59
2141,Beijing 2008,X360,2008,Sports,Sega,0.15,0.38,0,0.07,0.59
2142,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005,Strategy,Banpresto,0,0,0.59,0,0.59
2143,Jeopardy!,Wii,2010,Misc,THQ,0.56,0,0,0.03,0.59
2144,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.15,0.34,0,0.1,0.59
2145,Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.33,0.22,0,0.04,0.59
2146,Iron Man,Wii,2008,Action,Sega,0.31,0.22,0,0.06,0.59
2147,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
2148,NFL Blitz 2001,PS,2000,Sports,Midway Games,0.33,0.22,0,0.04,0.59
2149,Total War: Shogun 2,PC,2011,Strategy,Sega,0.19,0.31,0,0.09,0.59
2150,Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0,0.08,0.59
2151,Yakuza 5,PS3,2012,Action,Sega,0,0,0.59,0,0.59
2152,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.21,0.24,0,0.14,0.59
2153,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.24,0.28,0,0.07,0.59
2154,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59
2155,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.44,0.13,0,0.02,0.59
2156,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.53,0.02,0,0.04,0.59
2157,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.52,0.03,0,0.04,0.59
2158,Payday 2,X360,2013,Shooter,505 Games,0.33,0.21,0,0.05,0.59
2159,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59
2160,Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,0,0,0.59,0,0.59
2161,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59
2162,NHL 12,PS3,2011,Sports,Electronic Arts,0.36,0.16,0,0.07,0.59
2163,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
2164,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
2165,Skate it,Wii,2008,Sports,Electronic Arts,0.51,0.04,0,0.05,0.59
2166,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0,0.05,0.59
2167,Lost: Via Domus,X360,2008,Action,Ubisoft,0.18,0.34,0,0.07,0.59
2168,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0,0.08,0.59
2169,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
2170,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
2171,Ben 10: Alien Force,PSP,2008,Action,Koch Media,0.35,0.14,0,0.1,0.59
2172,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,0.25,0,0.09,0.59
2173,Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0,0.09,0.59
2174,Backyard NBA Basketball,PS2,2003,Sports,Atari,0.29,0.22,0,0.07,0.59
2175,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.26,0.22,0,0.1,0.59
2176,Mega Man X7,PS2,2003,Action,Capcom,0.22,0.17,0.14,0.06,0.58
2177,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.15,0.37,0,0.07,0.58
2178,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,0.53,0.01,0,0.04,0.58
2179,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.29,0.22,0,0.07,0.58
2180,The Conduit,Wii,2009,Shooter,Sega,0.29,0.23,0,0.06,0.58
2181,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.53,0.02,0,0.04,0.58
2182,NHL 15,PS4,2014,Sports,Electronic Arts,0.3,0.18,0,0.1,0.58
2183,Romancing SaGa,PS2,2005,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58
2184,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,0.49,0.02,0,0.08,0.58
2185,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.21,0.31,0,0.07,0.58
2186,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,0.35,0.18,0,0.05,0.58
2187,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.02,0.18,0,0.39,0.58
2188,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
2189,Rayman Origins,Wii,2011,Platform,Ubisoft,0.23,0.29,0,0.07,0.58
2190,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.31,0.22,0,0.05,0.58
2191,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0,0.07,0.58
2192,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.54,0,0,0.04,0.58
2193,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
2194,Sammy Sosa High Heat Baseball 2001,PS,2000,Sports,3DO,0.32,0.22,0,0.04,0.58
2195,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.28,0.22,0,0.07,0.58
2196,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.37,0.15,0,0.05,0.58
2197,Unreal Tournament,PS2,2000,Shooter,Infogrames,0.28,0.22,0,0.07,0.58
2198,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58
2199,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.33,0.22,0,0.03,0.58
2200,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,0.28,0.22,0,0.07,0.58
2201,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58
2202,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.28,0.22,0,0.07,0.58
2203,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.53,0,0,0.04,0.58
2204,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.21,0.27,0,0.09,0.58
2205,Rock Band 3,PS3,2010,Misc,MTV Games,0.43,0.09,0,0.06,0.58
2206,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58
2207,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
2208,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.32,0.22,0,0.04,0.58
2209,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.54,0,0,0.04,0.58
2210,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.28,0.22,0,0.07,0.58
2211,NHL 06,PS2,2005,Sports,Electronic Arts,0.48,0.02,0,0.08,0.58
2212,NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0,0.07,0.58
2213,Rapala: We Fish,Wii,2009,Sports,Activision,0.52,0.02,0,0.04,0.58
2214,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.34,0.17,0.02,0.05,0.58
2215,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0,0.53,0,0.04,0.58
2216,NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0,0.07,0.58
2217,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.08,0.37,0,0.12,0.57
2218,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.29,0.23,0,0.06,0.57
2219,Spider-Man 3,X360,2007,Platform,Activision,0.49,0.04,0,0.04,0.57
2220,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57
2221,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0,0.02,0.57
2222,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.28,0.22,0,0.07,0.57
2223,Up,Wii,2009,Action,THQ,0.23,0.28,0,0.06,0.57
2224,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,0,0,0.57,0,0.57
2225,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.15,0,0.05,0.57
2226,Iron Man,X360,2008,Action,Sega,0.27,0.24,0,0.06,0.57
2227,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0,0,0.54,0.04,0.57
2228,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,0.24,0.01,0.09,0.57
2229,Ben 10: Alien Force,PS2,2008,Action,Koch Media,0.22,0.02,0,0.33,0.57
2230,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.21,0.23,0,0.13,0.57
2231,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.25,0.27,0,0.06,0.57
2232,No More Heroes,Wii,2007,Action,Rising Star Games,0.3,0.17,0.04,0.05,0.57
2233,Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0,0.11,0.57
2234,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.47,0.02,0,0.08,0.57
2235,Defiance,X360,2013,Shooter,Trion Worlds,0.38,0.15,0,0.04,0.57
2236,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57
2237,Jillian Michaels Fitness Ultimatum 2010,Wii,2009,Sports,Majesco Entertainment,0.52,0.01,0,0.04,0.57
2238,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.1,0.12,0.29,0.07,0.57
2239,Grease,Wii,2010,Misc,505 Games,0.27,0.25,0,0.05,0.57
2240,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.43,0.12,0,0.02,0.57
2241,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57
2242,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.5,0.03,0,0.04,0.57
2243,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,0.28,0.22,0,0.07,0.57
2244,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0,0.08,0.57
2245,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.42,0.11,0.02,0.02,0.57
2246,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,0.45,0.1,0,0.02,0.57
2247,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.25,0.04,0.09,0.57
2248,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0,0,0.57,0,0.57
2249,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.39,0.16,0,0.02,0.57
2250,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.19,0.15,0.17,0.05,0.57
2251,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.31,0.21,0,0.04,0.57
2252,XIII,PS2,2003,Shooter,Ubisoft,0.28,0.22,0,0.07,0.57
2253,NHL 14,PS3,2013,Sports,Electronic Arts,0.28,0.19,0,0.09,0.57
2254,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.4,0.12,0,0.05,0.57
2255,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.19,0.31,0,0.06,0.57
2256,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.09,0.4,0,0.07,0.57
2257,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57
2258,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.28,0,0.05,0.56
2259,Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56
2260,Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56
2261,Arena Football,PS2,2006,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56
2262,NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.28,0.22,0,0.07,0.56
2263,The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0,0.02,0.56
2264,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.28,0.22,0,0.07,0.56
2265,"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.31,0.21,0,0.04,0.56
2266,Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.28,0.21,0,0.07,0.56
2267,Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.08,0,0.07,0.56
2268,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.28,0.21,0,0.07,0.56
2269,Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0,0.07,0.56
2270,Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.28,0.21,0,0.07,0.56
2271,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.39,0.15,0,0.02,0.56
2272,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0,0.06,0.56
2273,All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56
2274,NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.31,0.21,0,0.04,0.56
2275,Tony Hawk: Shred,Wii,2010,Sports,Activision,0.41,0.11,0,0.04,0.56
2276,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.49,0.02,0,0.04,0.56
2277,WWE Raw 2,XB,2003,Fighting,THQ,0.43,0.11,0,0.02,0.56
2278,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.27,0.21,0,0.07,0.56
2279,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56
2280,Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.44,0.08,0,0.04,0.56
2281,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
2282,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56
2283,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.35,0,0.07,0.56
2284,Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0,0,0.56,0,0.56
2285,Batman Begins,PS2,2005,Action,Electronic Arts,0.27,0.21,0,0.07,0.56
2286,Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,0.27,0.21,0,0.07,0.56
2287,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0,0.02,0.56
2288,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.32,0.18,0,0.05,0.56
2289,Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,0.17,0.24,0,0.14,0.56
2290,ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0,0.07,0.56
2291,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,0.52,0.02,0,0.02,0.56
2292,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.28,0.23,0,0.04,0.56
